날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-06-21,112,23.8,19.2,28.8
2020-06-22,112,25.7,21.3,31.7
2020-06-23,112,24.3,21.3,27.8
2020-06-24,112,21.9,19.5,25.7
2020-06-25,112,20.3,19.1,21.2
2020-06-26,112,20.3,18.7,23.1
2020-06-27,112,22.7,20.2,26.3
2020-06-28,112,22.7,19.8,26.6
2020-06-29,112,22,18.4,25.4
2020-06-30,112,19.5,18.4,21.8
2020-07-01,112,20.6,18.5,23.1
2020-07-02,112,22.9,20.3,26.8
2020-07-03,112,24.4,20.9,29.2
2020-07-04,112,22.2,20.2,25.4
2020-07-05,112,22.2,19.2,26
2020-07-06,112,24,21.3,27.9
2020-07-07,112,23,21.3,26.2
2020-07-08,112,23.1,20.7,27
2020-07-09,112,25.3,20.3,30.4
2020-07-10,112,24.2,22.1,27.4
2020-07-11,112,25.8,21.3,29.5
2020-07-12,112,23.3,21.4,25.1
2020-07-13,112,18.7,17.8,21.9
2020-07-14,112,19.8,17.4,22.5
2020-07-15,112,22.1,18.8,26
2020-07-16,112,23.3,20.4,26.5
2020-07-17,112,24.3,21.3,27.7
2020-07-18,112,24.3,21.7,27.1
2020-07-19,112,24.4,21.1,27
2020-07-20,112,23.1,21.6,25.8
2020-07-21,112,23.8,21.3,27.5
2020-07-22,112,22.3,21.2,23.7
2020-07-23,112,20.9,18.7,22.4
2020-07-24,112,22.4,18.9,25.9
2020-07-25,112,24.4,22,28.4
2020-07-26,112,24.2,21.5,27.9
2020-07-27,112,23.4,22.4,24.4
2020-07-28,112,24.3,22.9,25.7
2020-07-29,112,24,23.3,24.9
2020-07-30,112,23.7,22.1,25.6
2020-07-31,112,24.9,21.9,28.2
2020-08-01,112,24.4,23.2,25.5
2020-08-02,112,24,22.4,25
2020-08-03,112,24.2,23.6,25.1
2020-08-04,112,25.7,24.6,27.6
2020-08-05,112,26.6,24.6,29.3
2020-08-06,112,23.2,22.2,25.3
2020-08-07,112,23.7,22,25.3
2020-08-08,112,24,23.1,25.9
2020-08-09,112,24.6,23.9,25.5
2020-08-10,112,25.8,24.2,27.4
2020-08-11,112,23.8,21.8,24.9
2020-08-12,112,26.4,23.3,29.4
2020-08-13,112,27,26,29.3
2020-08-14,112,25.9,25.3,26.7
2020-08-15,112,25.2,24.4,26.1
2020-08-16,112,26.2,24.8,28.6
2020-08-17,112,26.8,25,29.5
2020-08-18,112,26.1,24,29.2
2020-08-19,112,26.1,23.6,29.2
2020-08-20,112,26.6,24.5,29.7
2020-08-21,112,26.1,24.3,28.7
2020-08-22,112,25.2,23.4,29
2020-08-23,112,25.4,22.8,28.3
2020-08-24,112,27.2,24.1,29.8
2020-08-25,112,29,26.2,32.2
2020-08-26,112,30,27,33.9
2020-08-27,112,26,24.7,27.7
2020-08-28,112,26.6,25.5,28.7
2020-08-29,112,26.6,25.4,28.5
2020-08-30,112,26.1,24.6,29
2020-08-31,112,26.9,24.4,30.1
2020-09-01,112,26.1,24,29.9
2020-09-02,112,24.2,21.9,25.6
2020-09-03,112,22.4,20,24.9
2020-09-04,112,22.9,20.1,25.6
2020-09-05,112,23.5,20.3,27.1
2020-09-06,112,21.8,19.8,23.4
2020-09-07,112,19.2,16.6,22
2020-09-08,112,23.1,21.3,25.4
2020-09-09,112,20.8,19.3,24
2020-09-10,112,22.6,19.4,25.6
2020-09-11,112,22.7,20.2,26.8
2020-09-12,112,19.8,18.2,22
2020-09-13,112,21.3,17.2,25.2
2020-09-14,112,21.5,18.3,24.3
2020-09-15,112,22.5,19.6,25.5
